Name,Financial Status,Paid at,Currency,Subtotal,Shipping,Taxes,Total,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Cancelled at,Payment Method,Refunded Amount,Outstanding Balance,Id,Tags,Source,Lineitem discount
#1651,paid,2026-03-12 23:09:02 -0400,USD,20.78,7.50,0.00,28.28,0.00,Economy,2026-03-12 23:09:00 -0400,1,10.39,15.99,GP_W15,TRUE,TRUE,Dickinson,'77539,TX,US,,Shopify Payments,0.00,0.00,7201597489462,,web,0.00
#1651,,,,,,,,,,2026-03-12 23:09:00 -0400,1,10.39,15.99,GP_B15,TRUE,TRUE,,,,,,,,,,,,0.00
#1650,paid,2026-03-12 11:36:50 -0400,USD,20.39,7.50,0.00,27.89,3.59,Economy,2026-03-12 11:36:49 -0400,1,11.99,19.99,AP_BP02,TRUE,TRUE,opelousas,'70570,LA,US,,Shopify Payments,0.00,0.00,7200323469622,,web,0.00
#1650,,,,,,,,,,2026-03-12 11:36:49 -0400,1,11.99,19.99,AP_SN02,TRUE,TRUE,,,,,,,,,,,,0.00
#1649,paid,2026-03-12 08:21:47 -0400,USD,79.96,0.00,0.00,79.96,0.00,Economy,2026-03-12 08:21:44 -0400,1,7.49,9.99,TO_MSBZF100,TRUE,TRUE,Wilkesboro,'28697,NC,US,,Shopify Payments,0.00,0.00,7200016597302,,web,0.00
#1649,,,,,,,,,,2026-03-12 08:21:44 -0400,1,7.49,9.99,TO_SDDB,TRUE,TRUE,,,,,,,,,,,,0.00
#1649,,,,,,,,,,2026-03-12 08:21:44 -0400,3,21.66,33.32,AP_SN04,TRUE,TRUE,,,,,,,,,,,,0.00
#1648,paid,2026-03-12 07:37:38 -0400,USD,176.63,0.00,0.00,176.63,31.17,Economy,2026-03-12 07:37:35 -0400,10,10.39,15.99,GP_MTC15,TRUE,TRUE,Concord,'28027,NC,US,,Shopify Payments,0.00,0.00,7199966822710,,web,0.00
#1648,,,,,,,,,,2026-03-12 07:37:35 -0400,10,10.39,15.99,GP_B15,TRUE,TRUE,,,,,,,,,,,,0.00
#1647,paid,2026-03-12 06:31:47 -0400,USD,106.62,0.00,0.00,106.62,0.00,Economy,2026-03-12 06:31:44 -0400,1,10.39,15.99,GP_W15,TRUE,TRUE,Redwing,'55066,MN,US,,Shopify Payments,0.00,0.00,7199893127478,pre-order,web,0.00
#1647,,,,,,,,,,2026-03-12 06:31:44 -0400,1,10.39,15.99,GP_B15,TRUE,TRUE,,,,,,,,,,,,0.00
#1647,,,,,,,,,,2026-03-12 06:31:44 -0400,1,25.89,25.89,AB_Set5,TRUE,TRUE,,,,,,,,,,,,0.00
#1647,,,,,,,,,,2026-03-12 06:31:44 -0400,1,11.99,19.99,AP_FP02,TRUE,TRUE,,,,,,,,,,,,0.00
#1647,,,,,,,,,,2026-03-12 06:31:44 -0400,1,11.99,19.99,AP_SN02,TRUE,TRUE,,,,,,,,,,,,0.00
#1647,,,,,,,,,,2026-03-12 06:31:44 -0400,2,11.99,19.99,AP_MW02,TRUE,TRUE,,,,,,,,,,,,0.00
#1647,,,,,,,,,,2026-03-12 06:31:44 -0400,1,11.99,19.99,AP_BP02,TRUE,TRUE,,,,,,,,,,,,0.00
#1646,paid,2026-03-11 23:41:06 -0400,USD,11.99,6.50,0.00,18.49,0.00,Economy,2026-03-11 23:41:03 -0400,1,11.99,19.99,AP_SN02,TRUE,TRUE,Garden Grove,'92841,CA,US,,Shopify Payments,0.00,0.00,7199442829622,,web,0.00
#1645,paid,2026-03-11 23:24:19 -0400,USD,45.64,6.50,0.00,52.14,0.00,Economy,2026-03-11 23:24:18 -0400,2,11.99,19.99,AP_EP02,TRUE,TRUE,Christiansburg,'24073,VA,US,,Shopify Payments,0.00,0.00,7199421301046,,web,0.00
#1645,,,,,,,,,,2026-03-11 23:24:18 -0400,1,21.66,33.32,AP_AF04,TRUE,TRUE,,,,,,,,,,,,0.00
#1644,paid,2026-03-11 22:14:35 -0400,USD,199.17,0.00,0.00,199.17,0.00,Economy,2026-03-11 22:14:32 -0400,1,21.66,33.32,AP_MW04,TRUE,TRUE,Liberty township,'45044,OH,US,,Shopify Payments,0.00,0.00,7199329583414,,web,0.00
#1644,,,,,,,,,,2026-03-11 22:14:32 -0400,1,25.89,46.99,AB_Set5,TRUE,TRUE,,,,,,,,,,,,0.00
